Run Number	BLP1	BLP2	Spin	Beam Intensity	GR Trigger	GR Trigger Live	GR Clock	GR Clock Live	LAS Trigger (Broken Channel)	LAS Trigger Live	LAS Clock	LAS Clock Live	GR Singles Event	LAS Singles Event	GR-LAS Coincidence	LAS Singles Sampling	LAS Trigger	GR Singles Sampling	N/U	BLP1 Left	BLP1 Right	BLP1 Up	BLP1 Down	BLP1 Left  Chance	BLP1 Right Chance	BLP1 Up    Chance	BLP1 Down  Chance	BLP2 Left	BLP2 Right	BLP2 Up	BLP2 Down	BLP2 Left  Chance	BLP2 Right Chance	BLP2 Up    Chance	BLP2 Down  Chance	BLP Clock	BLP Clock Live	BLP Trigger	BLP Trigger Live	Akimune Up	Akimune Down	Akimune Left	Akimune Right	Beam Loss Monitor 1	Beam Loss Monitor 2	Beam Loss Monitor 3	GR Scintillator 1	BI Range #1	BI Range #2	BI Range #3	BI Range #4	V830 Test #0	V830 Test #1	V830 Test #2	V830 Test #3	V830 Test #4	V830 Test #5	V830 Test #6	V830 Test #7	V830 Test #8	V830 Test #9	V830 Test #10	V830 Test #11	V830 Test #12	V830 Test #13	V830 Test #14	V830 Test #15	V830 Test #16	V830 Test #17	V830 Test #18	V830 Test #19	V830 Test #20	V830 Test #21	V830 Test #22	V830 Test #23	V830 Test #24	V830 Test #25	V830 Test #26	V830 Test #27	V830 Test #28	V830 Test #29	V830 Test #30	V830 Test #31
9999	OUT	OUT	UNPOL	117440505	117440505	117440505	117440505	117440505	117440505	117440505	117440505	117440505	117440505	117440505	117440505	117440505	117440505	117440505	117440505	5	2	8	21	5	2	6	12	0	0	0	0	0	0	0	0	70352	63432	61	53	6429	2318	2340	935	0	1145	0	0	0	175990	0	175806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21693	20738	70351	67385	788303	707164	70351	68040	18878	705314	1850	7	0	1888	0
2100	OUT	OUT	UNPOL	1486713	9280408	8820891	29049007	27705251	0	300203903	29049007	27982735	7995503	299383373	820517	1197536	336128954	799552	0	436	564	1535	1247	376	457	1330	1143	0	0	0	0	0	0	0	0	29048800	28163725	7082	6777	2387102	885418	754499	215402	0	465994	2	0	72956994	74520806	0	74206032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1486713	9280408	8820891	29049010	27705251	336128958	300203902	29049010	27982735	7995503	299383371	820517	2895	0	799552	0
2100	IN	OUT	UNPOL	115396	692747	665481	2645437	2549700	0	22279051	2645437	2570453	612888	22226781	52270	88907	24762598	61288	0	15729	17020	17126	17604	652	706	1672	889	0	0	0	0	0	1	0	0	2645438	594261	71358	15706	193472	68747	69663	21970	0	41963	0	0	6403306	6533414	0	6507263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115396	692747	665481	2645437	2549700	24762598	22279051	2645437	2570453	612888	22226781	52270	265	0	61288	0
2100	IN	IN	UNPOL	8487	51907	49963	200693	193677	0	1632840	200693	195206	46177	1629079	3761	6516	1812980	4618	0	1158	1222	1195	1278	44	38	98	63	1384	1353	1489	1311	12	10	10	15	200693	26055	10674	1338	15538	5263	5694	2188	0	3161	0	0	484086	493711	0	491766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8487	51907	49963	200693	193677	1812980	1632840	200693	195206	46177	1629079	3761	20	0	4618	0
2101	IN	IN	UNPOL	1816303	11163828	10644451	36107190	34554255	0	352437150	36107190	34882735	9687413	351485895	951238	1405938	393652091	968742	0	252449	272784	273012	277723	11666	13136	30170	16936	288942	291122	296363	291734	3446	3526	3564	3637	36106906	3975621	2329148	246075	3432934	1162421	1379640	494318	0	558317	18	0	89928149	91779875	0	91406311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1816303	11163828	10644451	36107192	34554255	393652106	352437151	36107192	34882735	9687413	351485895	951238	3598	0	968742	0
2103	IN	IN	UNPOL	822084	9825489	9148363	17812613	16646056	0	240061545	17812613	16885791	8058856	238978720	1082820	955913	273926354	805887	0	110443	120046	115198	121224	3634	4051	7023	4615	129829	129987	133366	131376	1393	1394	1397	1480	17812479	2127988	1016169	120130	1345210	456146	534881	176070	0	270460	4	0	49276949	50128184	0	49993046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	822084	9825489	9148363	17812613	16646056	273926362	240061545	17812613	16885791	8058856	238978719	1082820	1775	0	805887	0
2104	IN	IN	UNPOL	884039	9038324	8471607	18164327	17075092	0	225991013	18164327	17299927	7545108	225070153	920846	900279	256676444	754512	0	118413	127803	125039	130248	4091	4613	8593	5292	139088	138119	141090	140579	1571	1533	1527	1630	18164155	2066910	1088888	123277	1356084	462733	499470	198197	0	273201	4	0	48880288	49565122	0	49484144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	884039	9038324	8471607	18164327	17075092	256676452	225991011	18164327	17299927	7545108	225070152	920846	1810	0	754512	0
2105	IN	IN	UNPOL	1952199	13170872	12567302	36438519	34843251	0	345485847	36438519	35184635	11505723	344430639	1055200	1377724	385954316	1150572	0	241918	262420	259391	268004	10103	11297	25305	14471	283107	281562	288520	285046	3316	3224	3230	3388	36438235	4054142	2243382	248040	2851351	984431	1129483	485125	0	546026	24	0	91495761	92555731	0	92455906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1952199	13170872	12567302	36438522	34843251	385954324	345485847	36438522	35184635	11505723	344430639	1055200	3631	0	1150572	0
2106	IN	IN	UNPOL	886981	10604991	9839811	18657693	17373688	0	259262038	18657693	17632127	8640900	258070274	1191760	1032280	296605825	864090	0	118816	128929	126962	131111	4773	5335	11706	6709	140648	139204	142185	140513	1573	1546	1566	1602	18657557	2153463	1102763	126405	1498298	508631	588343	210511	0	280140	5	0	51777978	52535080	0	52447498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	886981	10604991	9839811	18657694	17373688	296605831	259262038	18657694	17632127	8640900	258070272	1191760	1859	0	864090	1
2107	IN	IN	UNPOL	873148	9161849	8577903	18053594	16956249	0	226541628	18053594	17182278	7627241	225596688	944933	902386	257509366	762723	0	117583	127545	130988	131359	6080	6765	17697	9206	136406	134569	138433	136670	1509	1547	1480	1618	18053384	2029984	1098890	122716	1490536	497401	651987	246495	0	274764	16	0	48737728	49414752	0	49338662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	873148	9161849	8577903	18053596	16956249	257509372	226541628	18053596	17182278	7627241	225596688	944933	1799	0	762723	0
